D:\Data\zcb\2012-12-29-Au2.b\001SMPL.d
强度 vs 时间,计数
采集日期      : 2014/12/29 21:15:50 使用批处理 2012-12-29-Au2.b
时间 [s],Au197
0.014,1.00
0.017,0.00
0.021,10.00
0.024,1.00
0.028,1.00
0.031,0.00
0.035,1.00
0.038,3.00
0.042,0.00
0.045,0.00
0.049,3.00
0.052,0.00
0.056,1.00
0.059,0.00
0.063,0.00
0.066,2.00
0.070,0.00
0.073,1.00
0.077,1.00
0.080,6.00
0.084,2.00
0.087,1.00
0.091,1.00
0.094,2.00
0.098,4.00
0.101,1.00
0.105,2.00
0.108,0.00
0.112,3.00
0.115,0.00
0.119,1.00
0.122,1.00
0.126,0.00
0.129,5.00
0.133,3.00
0.136,2.00
0.140,1.00
0.143,1.00
0.147,0.00
0.150,1.00
0.154,2.00
0.157,1.00
0.161,2.00
0.164,4.00
0.168,0.00
0.170,0.00
0.175,2.00
0.178,1.00
0.182,0.00
0.185,1.00
0.189,1.00
0.192,0.00
0.196,2.00
0.199,2.00
0.203,2.00
0.206,0.00
0.210,0.00
0.213,1.00
0.217,0.00
0.220,0.00
0.224,1.00
0.227,5.00
0.231,0.00
0.234,4.00
0.238,0.00
0.241,0.00
0.245,0.00
0.248,0.00
0.252,0.00
0.255,0.00
0.259,1.00
0.262,0.00
0.266,0.00
0.269,1.00
0.273,1.00
0.276,2.00
0.280,0.00
0.283,3.00
0.287,2.00
0.290,2.00
0.294,4.00
0.297,2.00
0.301,3.00
0.304,1.00
0.308,5.00
0.311,1.00
0.315,1.00
0.318,2.00
0.322,2.00
0.325,1.00
0.329,0.00
0.332,1.00
0.336,0.00
0.339,0.00
0.343,0.00
0.346,5.00
0.350,1.00
0.353,2.00
0.357,2.00
0.360,4.00
0.364,5.00
0.367,0.00
0.371,1.00
0.374,2.00
0.378,1.00
0.381,1.00
0.385,0.00
0.388,1.00
0.392,4.00
0.395,7.00
0.399,0.00
0.402,2.00
0.406,0.00
0.409,2.00
0.413,0.00
0.416,0.00
0.420,0.00
0.423,0.00
0.426,3.00
0.430,0.00
0.434,1.00
0.437,0.00
0.441,2.00
0.444,0.00
0.448,4.00
0.451,1.00
0.455,1.00
0.458,2.00
0.462,1.00
0.465,0.00
0.469,0.00
0.472,2.00
0.476,3.00
0.479,1.00
0.483,0.00
0.486,2.00
0.490,1.00
0.494,0.00
0.497,3.00
0.501,3.00
0.504,0.00
0.508,1.00
0.511,0.00
0.515,0.00
0.518,2.00
0.522,0.00
0.525,3.00
0.529,2.00
0.532,3.00
0.536,0.00
0.539,2.00
0.543,1.00
0.546,1.00
0.550,0.00
0.553,1.00
0.557,2.00
0.560,1.00
0.564,2.00
0.567,1.00
0.571,2.00
0.574,1.00
0.578,2.00
0.581,2.00
0.585,1.00
0.588,4.00
0.592,0.00
0.595,1.00
0.599,1.00
0.602,2.00
0.606,2.00
0.609,0.00
0.613,0.00
0.616,0.00
0.620,2.00
0.623,1.00
0.627,2.00
0.630,1.00
0.634,0.00
0.637,0.00
0.641,1.00
0.644,1.00
0.648,2.00
0.651,1.00
0.655,3.00
0.658,1.00
0.662,1.00
0.665,2.00
0.669,2.00
0.672,1.00
0.676,0.00
0.679,2.00
0.682,1.00
0.686,0.00
0.690,0.00
0.693,1.00
0.697,0.00
0.700,0.00
0.704,2.00
0.707,2.00
0.711,0.00
0.714,1.00
0.718,1.00
0.721,2.00
0.725,1.00
0.728,1.00
0.732,3.00
0.735,0.00
0.739,4.00
0.742,3.00
0.746,2.00
0.749,1.00
0.753,2.00
0.756,1.00
0.760,3.00
0.763,1.00
0.767,0.00
0.770,1.00
0.774,0.00
0.777,0.00
0.781,1.00
0.784,2.00
0.788,0.00
0.791,0.00
0.795,3.00
0.798,1.00
0.802,0.00
0.805,0.00
0.809,4.00
0.812,1.00
0.816,1.00
0.819,0.00
0.823,0.00
0.826,1.00
0.830,1.00
0.833,0.00
0.837,0.00
0.840,2.00
0.844,1.00
0.847,0.00
0.851,2.00
0.854,0.00
0.858,1.00
0.861,2.00
0.865,0.00
0.868,4.00
0.872,1.00
0.874,3.00
0.879,0.00
0.882,0.00
0.886,0.00
0.889,6.00
0.893,0.00
0.896,2.00
0.900,1.00
0.903,1.00
0.907,0.00
0.910,0.00
0.914,3.00
0.917,0.00
0.921,0.00
0.924,1.00
0.928,0.00
0.931,1.00
0.935,2.00
0.938,1.00
0.942,0.00
0.945,0.00
0.949,0.00
0.952,1.00
0.956,2.00
0.959,3.00
0.963,0.00
0.966,2.00
0.970,2.00
0.973,2.00
0.977,1.00
0.980,1.00
0.984,0.00
0.987,2.00
0.991,1.00
0.994,2.00
0.998,3.00
1.001,2.00
1.005,0.00
1.008,0.00
1.012,2.00
1.015,4.00
1.019,2.00
1.022,0.00
1.026,1.00
1.029,0.00
1.033,0.00
1.036,1.00
1.040,0.00
1.043,0.00
1.047,0.00
1.050,1.00
1.054,2.00
1.057,0.00
