D:\Data\zcb\2012-12-29-Au2.b\005SMPL.d
强度 vs 时间,计数
采集日期      : 2014/12/29 21:37:55 使用批处理 2012-12-29-Au2.b
时间 [s],Au197
0.014,0.00
0.017,0.00
0.021,0.00
0.024,0.00
0.028,0.00
0.031,0.00
0.035,0.00
0.038,0.00
0.042,0.00
0.045,0.00
0.049,0.00
0.052,0.00
0.056,0.00
0.059,0.00
0.063,0.00
0.066,0.00
0.070,0.00
0.073,0.00
0.077,0.00
0.080,0.00
0.084,0.00
0.087,0.00
0.091,0.00
0.094,0.00
0.098,0.00
0.101,0.00
0.105,20.00
0.108,32.01
0.112,0.00
0.116,0.00
0.119,118.16
0.123,0.00
0.126,0.00
0.130,0.00
0.133,0.00
0.137,0.00
0.140,0.00
0.144,0.00
0.147,1.00
0.151,0.00
0.154,0.00
0.158,0.00
0.161,0.00
0.165,0.00
0.168,0.00
0.172,0.00
0.175,0.00
0.179,0.00
0.182,0.00
0.186,0.00
0.189,0.00
0.193,0.00
0.196,0.00
0.200,0.00
0.203,0.00
0.207,0.00
0.210,0.00
0.214,0.00
0.217,0.00
0.221,0.00
0.224,0.00
0.228,0.00
0.231,0.00
0.234,0.00
0.238,0.00
0.242,0.00
0.245,0.00
0.249,0.00
0.252,0.00
0.256,0.00
0.259,0.00
0.263,0.00
0.266,0.00
0.270,0.00
0.273,0.00
0.277,0.00
0.280,0.00
0.284,0.00
0.287,0.00
0.291,0.00
0.294,0.00
0.298,0.00
0.301,0.00
0.305,0.00
0.308,0.00
0.312,0.00
0.315,0.00
0.319,0.00
0.322,0.00
0.326,0.00
0.329,0.00
0.333,0.00
0.336,0.00
0.340,0.00
0.343,57.04
0.347,45.02
0.350,2.00
0.354,0.00
0.357,0.00
0.361,0.00
0.364,0.00
0.368,0.00
0.371,0.00
0.375,2.00
0.378,0.00
0.382,0.00
0.385,0.00
0.389,0.00
0.392,0.00
0.396,0.00
0.399,0.00
0.403,0.00
0.406,0.00
0.410,0.00
0.413,0.00
0.417,0.00
0.420,0.00
0.424,0.00
0.426,0.00
0.431,0.00
0.434,0.00
0.438,0.00
0.441,0.00
0.445,0.00
0.448,0.00
0.452,0.00
0.455,0.00
0.459,0.00
0.462,0.00
0.466,0.00
0.469,0.00
0.473,0.00
0.476,0.00
0.480,0.00
0.483,0.00
0.487,0.00
0.490,0.00
0.494,0.00
0.497,0.00
0.501,0.00
0.504,0.00
0.508,0.00
0.511,0.00
